;index;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Discount_text_decorator;Discount_facilitator
117;117;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def8ce6428.png; -44%;"
        Valgomieji ledai ant pagaliuko DADU, 3 rūšių, 63 g
    ";"
             Iki 12.11
                ";0;0;99;"
                1,79
                €
            ";
118;118;Šaldytas maistas;https://offers.maxima.lt/media/MarketingOffer/656def8d2f93e.png;;"
        Valgomieji ledai; plombyras DADU, 3 rūšių, 400–440 g
    ";"
             Iki 12.11
                ";0;3;99;;AČIŪ
119;119;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa5aea18.png; -50%;"
        VILNIAUS PERGALĖS sveriamiems saldainiams, saldainiams dėžutėse, šokolado plytelėms
    ";"
             Iki 12.11
                ";0;;;;
120;120;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa66c8ed.png;;"
        Zefyras ant pagaliuko FIZZY XMAS MALLOW POP, 3 rūšių, 35 g
    ";"
             Iki 12.11
                ";0;1;09;;AČIŪ
121;121;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa7e7baa.png;;"
        Pieninio šokolado saldainių rinkinys INCO, 2 rūšių, 80 g
    ";"
             Iki 12.11
                ";0;1;09;;AČIŪ
122;122;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa4e7e7d.png;;"
        Pieninio šokolado kalėdinių žaisliukų rinkinys INCO, 105 g
    ";"
             Iki 12.11
                ";0;1;09;;AČIŪ
123;123;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa62dc2f.png;;"
        Kalėdinis ledinukas GIGA TWISTY, 3 rūšių, 65 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;1;39;;AČIŪ
124;124;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa4ab837.png;;"
        Šokoladinis Kalėdų Senelis KINDER, 55 g
    ";"
             Iki 12.11
                ";0;1;49;;AČIŪ
125;125;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa8312f6.png;;"
        Guminukai HARIBO FROHE WEIHNACHTE, 200 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;1;89;;AČIŪ
126;126;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defab6cbc4.png;;"
        Pieninio šokolado figūrėlė KINDER su staigmena, 3 rūšių, 36 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;1;99;;AČIŪ
127;127;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defaa6c5ce.png;;"
        Pieninis šokoladas KINDER, 3 rūšių, 150 g
    ";"
             Iki 12.11
                ";0;2;09;;AČIŪ
128;128;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defaae6815.png;;"
        Pieninio šokolado meškiukai LINDT, 1 dėž. (5 vnt. x 10 g)
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;2;79;;AČIŪ
129;129;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa9a8d58.png;;"
        Saldainių rinkinys ROSHEN DRAKONIUKŲ KALĖDOS, 277 g
    ";"
             Iki 12.11
                ";0;2;29;;AČIŪ
130;130;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defab31328.png;;"
        Saldainių rinkinys ROSHEN KALĖDINIS VAINIKAS, 350 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;3;19;;AČIŪ
131;131;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa8ab6eb.png;;"
        Šokoladinis Kalėdų Senelis KINDER su šokoladiniu kiaušiniu, 3 rūšių, 75 g
    ";"
             Iki 12.11
                ";0;3;49;;AČIŪ
132;132;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa9e6d46.png;;"
        Saldainiai TOFFIFEE SANTA, 1 dėž. (2 pak. x 125 g)
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;3;79;;AČIŪ
133;133;Saldumynai;https://offers.maxima.lt/media/MarketingOffer/656defa86e45b.png;;"
        Saldumynų rinkinys AHA ZOO su gyvūnėlio figūrėle, 250 g
    ";"
             Iki 12.11
                ";0;4;19;;AČIŪ
